S#No,question,audio_notes,photo_thumbnail,video_thumbnail,is_multiple_choice_question,multiple_choice_options,is_sub1_question,sub1_question,sub1_audio_notes,is_sub1_multiple_choice_question,sub1_multiple_choice_options,is_sub2_question,sub2_question,sub2_audio_notes,is_sub2_multiple_choice_question,sub2_multiple_choice_options,upload_photo,upload_video,upload_audio
7.0,Sila ambil Foto Fender Sebelah Kanan Belakang,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q7.mp3,Yes,No,No,,Yes,Bilangan kemek pada Fender Sebelah Kanan Belakang?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q7_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Bilangan Calar pada Fender Sebelah Kanan Belakang?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q7_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
120.0,Sila ambil Foto Windsheild Belakang,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q120.mp3,Yes,,,,Yes,Bagaimanakah Keadaan Windsheild Belakang?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q120_SQ1.mp3,Yes,"Good,Crack,Dents , Scartches ",No,,,No,,Yes,,Yes
124.0,Sila ambil Gambar Belakang Kenderaan,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q124.mp3,Yes,No,No,,Yes,Bilangan Kemek Di Bahagian Belakang Kenderaan?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q124_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Bilangan Calar pada Bahagian Belakang Kenderaan,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q124_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
9.0,Sila ambil Foto Bampar Belakang Kenderaan,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q9.mp3,Yes,No,No,,Yes,Bilangan Kemek Pada Bampar Belakang?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q9_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Bilangan Calar pada Bampar Belakang?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q9_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
10.0,Sila ambil Foto Fender Sebelah Kiri Belakang,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q10.mp3,Yes,No,No,,Yes,Bilangan kemek pada Fender Sebelah Kiri Belakang?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q10_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Bilangan Calar pada Fender Sebelah Kiri Belakang?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q10_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
11.0,Sila ambil Foto Pintu Sebelah Kiri Belakang,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q11.mp3,Yes,No,No,,Yes,Bilangan kemek pada Pintu Sebelah Kiri Belakang?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q11_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Bilangan Calar pada Pintu Sebelah Kiri Belakang?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q11_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
13.0,Sila Klik Foto Pintu Sebelah Penumpang.,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q13.mp3,Yes,No,No,,Yes,Bilangan Kemek pada Pintu Sebelah Penumpang,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q13_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Bilangan Calar pada Pintu Sebelah Penumpang,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q13_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
14.0,Sila ambil Foto Fender Sebelah Kiri Depan.,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q14.mp3,Yes,No,No,,Yes,Bilangan kemek pada Fender Sebelah Kiri Depan,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q14_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Bilangan Calar pada Fender Sebelah Kiri Depan,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q14_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
,Lampu Utama dan Pemeriksaan Penunjuk,,,,,,,,,,,,,,,,,,
15.0,Sila ambil Foto Lampu Depan Kiri,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q15.mp3,Yes,No,No,,Yes,Mentol Lampu Kiri / Keadaan LED?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q15_SQ1.mp3,Yes,"Working , Not Working  ",Yes,Keadaan Lampu Kiri?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q15_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
16.0,Sila ambil Penunjuk Hadapan Foto Sebelah Kiri,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q16.mp3,Yes,No,No,,Yes,Mentol Penunjuk Hadapan / Keadaan Sebelah Kiri LED?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q16_SQ1.mp3,Yes,"Working , Not Working ",Yes,Penunjuk Hadapan Keadaan Sebelah Kiri?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q16_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
17.0,Sila ambil Foto Sebelah Kiri Lampu Kabus,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q17.mp3,Yes,No,No,,Yes,Mentol Lampu Kabus / LED Keadaan Sebelah Kiri?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q17_SQ1.mp3,Yes,"Working , Not Working , Not  Applicable ",Yes,Keadaan Sebelah Kiri Lampu Kabus?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q17_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
18.0,Sila ambil Foto Lampu Depan Kanan,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q18.mp3,Yes,No,No,,Yes,Mentol Lampu Kanan / Keadaan LED?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q18_SQ1.mp3,Yes,"Working , Not Working",Yes,Keadaan Lampu Betul?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q18_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
19.0,Sila ambil Penunjuk Hadapan Foto Sebelah Kanan,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q19.mp3,Yes,No,No,,Yes,Mentol Penunjuk Hadapan / Keadaan Sebelah Kanan LED?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q19_SQ1.mp3,Yes,"Working , Not Working",Yes,Penunjuk Hadapan Keadaan Sebelah Kanan?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q19_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
20.0,Sila ambil Foto Sebelah Kanan Lampu Kabus,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q20.mp3,Yes,No,No,,Yes,Mentol Lampu Kabus / LED Keadaan Sebelah Kanan?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q20_SQ1.mp3,Yes,"Working , Not Working , Not  Applicable ",Yes,Lampu Kabus Keadaan Sebelah Kanan?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q20_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
24.0,Sila ambil Gambar Sebelah Kanan Lampu Brek,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q24.mp3,Yes,No,No,,Yes,Mentol Lampu Brek / LED Sebelah Kanan Keadaan?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q24_SQ1.mp3,Yes,"Working , Not Working",Yes,Lampu Brek Keadaan Sebelah Kanan?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q24_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
21.0,Sila ambil Penunjuk Belakang Foto Sebelah Kanan,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q21.mp3,Yes,No,No,,Yes,Mentol Penunjuk Belakang / LED Sebelah Kanan Keadaan?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q21_SQ1.mp3,Yes,"Working , Not Working",Yes,Penunjuk Belakang Keadaan Sebelah Kanan?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q21_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
122.0,Sila ambil Foto Lampu Ekor Belakang,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q122.mp3,Yes,No,No,,Yes,Bagaimanakah keadaan mentol lampu belakang / LED?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q122_SQ1.mp3,Yes,"Working , Not Working , Not  Applicable ",Yes,Bagaimanakah Keadaan Lampu Ekor Belakang?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q122_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
23.0,Sila ambil Foto Sebelah Kiri Lampu Brek,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q23.mp3,Yes,No,No,,Yes,Lampu Brek Mentol Sebelah Kiri / Keadaan LED?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q23_SQ1.mp3,Yes,"Working , Not Working",Yes,Lampu Brek Keadaan Sebelah Kiri?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q23_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
22.0,Sila ambil Penunjuk Belakang Foto sebelah Kiri,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q22.mp3,Yes,No,No,,Yes,Penunjuk Belakang Mentol sebelah kiri / Keadaan LED?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q22_SQ1.mp3,Yes,"Working , Not Working",Yes,Penunjuk Belakang Keadaan Sebelah Kiri?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q22_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
,Pemeriksaan Dalaman,,,,,,,,,,,,,,,,,,
25.0,Sila ambil Foto tempat duduk Sebelah Pemandu,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q25.mp3,Yes,No,No,,Yes,Keadaan Tempat Duduk Sebelah Pemandu?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q25_SQ1.mp3,Yes,"Good ,Stained, Crack , Damage",No,,,No,,Yes,No,Yes
26.0,Sila ambil Foto tempat duduk Sebelah Penumpang,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q26.mp3,Yes,No,No,,Yes,Keadaan Tempat Duduk Tepi Penumpang?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q26_SQ1.mp3,Yes,"Good ,Stained, Crack , Damage",No,,,No,,Yes,No,Yes
27.0,Sila ambil Foto tempat duduk belakang,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q27.mp3,Yes,No,No,,Yes,Keadaan Tempat Duduk Belakang?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q27_SQ1.mp3,Yes,"Good ,Stained, Crack , Damage",No,,,No,,Yes,No,Yes
28.0,Bagaimanakah Keadaan Tali Pinggang Keledar?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q28.mp3,No,No,Yes,"Working , Not Working , Not Applicable",No,,,No,,No,,,No,,No,No,No
29.0,Sila ambil Foto Bumbung dalaman,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q29.mp3,Yes,No,No,,Yes,Keadaan Bumbung Dalaman,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q29_SQ1.mp3,Yes,"Good ,Stained, Crack , Damage",No,,,No,,Yes,No,Yes
30.0,Sila ambil gambar papan pemuka penuh,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q30.mp3,Yes,No,No,,Yes,Keadaan Papan Pemuka?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q30_SQ1.mp3,Yes,"Good ,Stained, Crack , Damage",No,,,No,,Yes,No,Yes
31.0,Sila ambil Foto ODometer Dengan lampu Amaran,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q31.mp3,Yes,No,No,,Yes,Adakah terdapat sebarang lampu amaran pada papan pemuka kereta?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q31_SQ1.mp3,Yes,"Yes , No ,Not Applicable",No,,,No,,Yes,No,Yes
44.0,Adakah Beg Udara Tersedia?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q44.mp3,No,No,Yes,"Yes,No",Yes,Bilangan Beg Udara,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q44_SQ1.mp3,Yes,"0,2,4,6",No,,,No,,No,No,Yes
,"Infotainment , Pemeriksaan Sistem Elektrik dan Aksesori",,,,,,,,,,,,,,,,,,
36.0,Sila ambil gambar Sistem Infotainment,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q36.mp3,Yes,No,No,,Yes,Adakah Sistem Infotainment Berfungsi dengan Baik?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q36_SQ1.mp3,Yes,"Working, Not Working, Not Applicable ",No,,,No,,Yes,No,Yes
37.0,Adakah kawalan stereng berfungsi dengan baik?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q37.mp3,No,No,Yes,"Working ,Not Working, Not Applicable",No,,,No,,No,,,No,,No,No,Yes
38.0,Adakah Horn Berfungsi dengan Baik?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q38.mp3,No,No,Yes,"Working ,Not Working, Not Applicable",No,,,No,,No,,,No,,No,No,Yes
39.0,Adakah Sistem Bunyi Berfungsi dengan Baik?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q39.mp3,No,No,Yes,"Working ,Not Working, Not Applicable",No,,,No,,No,,,No,,No,No,Yes
40.0,Adakah Side Electronic Mirror berfungsi?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q40.mp3,No,No,Yes,"Working ,Not Working, Not Applicable",No,,,No,,No,,,No,,No,No,Yes
52.0,Apakah keadaan pengawal selia tingkap?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q52.mp3,No,No,Yes,"Working ,Not Working , Not Applicable",No,,,No,,No,,,No,,No,No,Yes
53.0,Adakah kunci pintu manual atau automatik?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q53.mp3,No,No,Yes,"Manual , Automatic",Yes,Adakah kunci pintu berfungsi dengan baik?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q53_SQ1.mp3,Yes,"Working ,Not Working , Not Applicable",No,,,No,,No,No,Yes
32.0,Adakah Speedometer Berfungsi dengan Baik?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q32.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
33.0,Adakah Tolok Bahan Api Berfungsi dengan Baik?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q33.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
34.0,Adakah Bluetooth Berfungsi dengan Baik?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q34.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
35.0,Adakah Port USB Berfungsi Dengan Betul?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q35.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
,Pemeriksaan Sistem Penghawa Dingin,,,,,,,,,,,,,,,,,,
45.0,Sila ambil gambar bolong AC hadapan di sebelah pemandu,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q45.mp3,Yes,No,No,,Yes,Bolong AC Depan Keadaan Berfungsi?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q45_SQ1.mp3,Yes,"Working , Not Working , Not Applicable",Yes,Keadaan Ac Vents?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q45_SQ2.mp3,Yes,"Good , Damaged ,Not Available ",Yes,No,Yes
46.0,Sila ambil gambar bolong AC hadapan di sebelah penumpang,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q46.mp3,Yes,No,No,,Yes,AC Hadapan Membuang Sisi Penumpang Keadaan Berfungsi?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q46_SQ1.mp3,Yes,"Working , Not Working , Not Applicable",Yes,Keadaan Ac Vents?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q46_SQ2.mp3,Yes,"Good , Damaged ,Not Available ",Yes,No,Yes
47.0,Sila ambil gambar bolong AC tengah hadapan,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q47.mp3,Yes,No,No,,Yes,Bolong AC Depan Keadaan Tengah Kerja?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q47_SQ1.mp3,Yes,"Working , Not Working , Not Applicable",Yes,Keadaan Ac Vents?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q47_SQ2.mp3,Yes,"Good , Damaged ,Not Available ",Yes,No,Yes
48.0,Sila Klik Foto Bolong AC Belakang,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q48.mp3,Yes,No,No,,Yes,Bolong AC Belakang Keadaan Berfungsi?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q48_SQ1.mp3,Yes,"Working , Not Working , Not Applicable",Yes,Keadaan Ac Vents?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q48_SQ2.mp3,Yes,"Good , Damaged ,Not Available ",Yes,No,Yes
49.0,Adakah Penyaman Udara Berfungsi dengan Baik?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q49.mp3,No,No,Yes,"Yes,No",Yes,Keadaan Penyejukan AC,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q49_SQ1.mp3,Yes,"Normal , No Cooling, Excellent",No,,,No,,No,No,Yes
50.0,Adakah Kipas Blower Berfungsi dengan Baik?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q50.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
,Kesihatan Enjin dan Diagnosis,,,,,,,,,,,,,,,,,,
54.0,Sila Buka Bonet dan ambil Gambar Bahagian Atas Enjin,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q54.mp3,Yes,No,No,,No,,,No,,No,,,No,,Yes,No,Yes
56.0,Sila ambil gambar paparan Bahagian Kiri Enjin,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q56.mp3,Yes,No,No,,No,,,No,,No,,,No,,Yes,No,Yes
57.0,Sila ambil Gambar Pandangan Sebelah Kanan Enjin,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q57.mp3,Yes,No,No,,No,,,No,,No,,,No,,Yes,No,Yes
59.0,Sila ambil Video dengan Mula Enjin selama 30 Saat,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q59.mp3,No,Yes,No,,No,,,No,,No,,,No,,No,Yes,Yes
60.0,Adakah enjin bermula dengan satu engkol?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q60.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
62.0,Adakah terdapat sebarang bunyi di dalam Enjin?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q62.mp3,No,No,Yes,"Knocking, Crackling, Humming, Metallic, Normal",No,,,No,,No,,,No,,No,No,Yes
63.0,Adakah enjin mempunyai mampatan belakang?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q63.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
64.0,Adakah enjin mengalami masalah kebakaran?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q64.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
65.0,Adakah terdapat apa-apa bunyi yang datang dari Timing belt?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q65.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
66.0,Adakah terdapat sebarang bunyi yang datang dari Kes Masa?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q66.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
67.0,Adakah terdapat sebarang bunyi yang datang dari Tali Pinggang Berbilang V?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q67.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
