S#No,question,audio_notes,photo_thumbnail,video_thumbnail,is_multiple_choice_question,multiple_choice_options,is_sub1_question,sub1_question,sub1_audio_notes,is_sub1_multiple_choice_question,sub1_multiple_choice_options,is_sub2_question,sub2_question,sub2_audio_notes,is_sub2_multiple_choice_question,sub2_multiple_choice_options,upload_photo,upload_video,upload_audio
7.0,โปรดถ่ายรูปบังโคลนด้านหลังขวา,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q7.mp3,Yes,No,No,,Yes,จำนวนรอยบุบที่บังโคลนด้านหลังขวา?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q7_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,จำนวนรอยขีดข่วนบนบังโคลนด้านหลังขวา?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q7_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
120.0,โปรดถ่ายรูปกระจกบังลมด้านหลัง,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q120.mp3,Yes,,,,Yes,กระจกบังลมหลังมีสภาพเป็นอย่างไร?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q120_SQ1.mp3,Yes,"Good,Crack,Dents , Scartches ",No,,,No,,Yes,No,Yes
124.0,โปรดถ่ายรูปด้านหลังของรถยนต์,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q124.mp3,Yes,No,No,,Yes,จำนวนรอยบุบที่ด้านหลังของตัวรถ?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q124_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,จำนวนรอยขีดข่วนบนด้านหลังของรถ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q124_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
9.0,โปรดถ่ายรูปกันชนหลังของรถยนต์,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q9.mp3,Yes,No,No,,Yes,จำนวนรอยบุบที่กันชนหลัง?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q9_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,จำนวนรอยขีดข่วนบนกันชนหลัง?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q9_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
10.0,โปรดถ่ายรูปบังโคลนด้านหลังซ้าย,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q10.mp3,Yes,No,No,,Yes,จำนวนรอยบุบที่บังโคลนด้านหลังซ้าย?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q10_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,จำนวนรอยขีดข่วนบนบังโคลนด้านหลังซ้าย?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q10_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
11.0,โปรดถ่ายรูปประตูด้านหลังซ้าย,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q11.mp3,Yes,No,No,,Yes,จำนวนรอยบุบที่ประตูด้านหลังซ้าย?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q11_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,จำนวนรอยขีดข่วนบนประตูด้านหลังซ้าย?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q11_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
13.0,โปรดคลิกที่รูปประตูฝั่งผู้โดยสาร,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q13.mp3,Yes,No,No,,Yes,จำนวนรอยบุบที่ประตูฝั่งผู้โดยสาร,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q13_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,จำนวนรอยขีดข่วนบนประตูฝั่งผู้โดยสาร,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q13_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
14.0,โปรดถ่ายรูปบังโคลนด้านหน้าซ้าย,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q14.mp3,Yes,No,No,,Yes,จำนวนรอยบุบที่บังโคลนด้านหน้าซ้าย,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q14_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,จำนวนรอยขีดข่วนบนบังโคลนด้านหน้าซ้าย,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q14_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
,การตรวจสอบไฟหน้าและไฟเลี้ยว,,,,,,,,,,,,,,,,,,
15.0,กรุณาถ่ายรูปไฟหน้าซ้าย,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q15.mp3,Yes,No,No,,Yes,หลอดไฟหน้าซ้าย / LED สภาพ?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q15_SQ1.mp3,Yes,"Working , Not Working  ",Yes,สภาพไฟหน้าซ้าย?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q15_SQ2.mp3,Yes,"Good , Crack , Damage",No,No,Yes
16.0,กรุณาถ่ายรูปไฟเลี้ยวหน้าด้านซ้าย,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q16.mp3,Yes,No,No,,Yes,หลอดไฟเลี้ยวหน้า / LED สภาพด้านซ้าย?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q16_SQ1.mp3,Yes,"Working , Not Working ",Yes,สภาพไฟเลี้ยวหน้าซ้าย?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q16_SQ2.mp3,Yes,"Good , Crack , Damage",No,No,Yes
17.0,กรุณาถ่ายรูปไฟตัดหมอกด้านซ้าย,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q17.mp3,Yes,No,No,,Yes,หลอดไฟไฟตัดหมอก / LED สภาพด้านซ้าย?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q17_SQ1.mp3,Yes,"Working , Not Working , Not  Applicable ",Yes,สภาพไฟตัดหมอกซ้าย?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q17_SQ2.mp3,Yes,"Good , Crack , Damage",No,No,Yes
18.0,กรุณาถ่ายรูปไฟหน้าขวา,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q18.mp3,Yes,No,No,,Yes,หลอดไฟหน้าขวา / LED สภาพ?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q18_SQ1.mp3,Yes,"Working , Not Working",Yes,สภาพไฟหน้าขวา?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q18_SQ2.mp3,Yes,"Good , Crack , Damage",No,No,Yes
19.0,กรุณาถ่ายรูปไฟเลี้ยวหน้าด้านขวา,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q19.mp3,Yes,No,No,,Yes,หลอดไฟเลี้ยวหน้า / LED สภาพด้านขวา?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q19_SQ1.mp3,Yes,"Working , Not Working",Yes,สภาพไฟเลี้ยวหน้าขวา?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q19_SQ2.mp3,Yes,"Good , Crack , Damage",No,No,Yes
20.0,กรุณาถ่ายรูปไฟตัดหมอกด้านขวา,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q20.mp3,Yes,No,No,,Yes,หลอดไฟไฟตัดหมอก / LED สภาพด้านขวา?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q20_SQ1.mp3,Yes,"Working , Not Working , Not  Applicable ",Yes,สภาพไฟตัดหมอกขวา?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q20_SQ2.mp3,Yes,"Good , Crack , Damage",No,No,Yes
24.0,กรุณาถ่ายรูปไฟเบรกด้านขวา,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q24.mp3,Yes,No,No,,Yes,หลอดไฟเบรค / LED สภาพด้านขวา?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q24_SQ1.mp3,Yes,"Working , Not Working",Yes,สภาพไฟเบรคขวา?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q24_SQ2.mp3,Yes,"Good , Crack , Damage",No,No,Yes
21.0,กรุณาถ่ายรูปไฟเลี้ยวหลังด้านขวา,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q21.mp3,Yes,No,No,,Yes,หลอดไฟเลี้ยวหลัง / LED สภาพด้านขวา?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q21_SQ1.mp3,Yes,"Working , Not Working",Yes,ไฟเลี้ยวหลัง สภาพขวา?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q21_SQ2.mp3,Yes,"Good , Crack , Damage",No,No,Yes
122.0,กรุณาถ่ายรูปไฟท้ายด้านหลัง,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q122.mp3,Yes,No,No,,Yes,หลอดไฟท้ายหลัง / LED สภาพเป็นอย่างไร?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q122_SQ1.mp3,Yes,"Working , Not Working , Not  Applicable ",Yes,สภาพไฟท้ายหลังเป็นอย่างไรบ้าง?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q122_SQ2.mp3,Yes,"Good , Crack , Damage",No,No,Yes
23.0,กรุณาถ่ายรูปไฟเบรกด้านซ้าย,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q23.mp3,Yes,No,No,,Yes,หลอดไฟเบรคซ้าย / LED สภาพ?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q23_SQ1.mp3,Yes,"Working , Not Working",Yes,สภาพไฟเบรคซ้าย?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q23_SQ2.mp3,Yes,"Good , Crack , Damage",No,No,Yes
22.0,กรุณาถ่ายรูปไฟเลี้ยวหลังด้านซ้าย,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q22.mp3,Yes,No,No,,Yes,หลอดไฟเลี้ยวหลัง หลอดไฟซ้าย / LED สภาพ?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q22_SQ1.mp3,Yes,"Working , Not Working",Yes,ไฟเลี้ยวหลัง สภาพซ้าย?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q22_SQ2.mp3,Yes,"Good , Crack , Damage",No,No,Yes
,การตรวจสอบภายใน,,,,,,,,,,,,,,,,,,
25.0,กรุณาถ่ายรูปที่นั่งฝั่งคนขับ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q25.mp3,Yes,No,No,,Yes,สภาพเบาะนั่งฝั่งคนขับ?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q25_SQ1.mp3,Yes,"Good ,Stained, Crack , Damage",No,,,No,,Yes,No,Yes
26.0,กรุณาถ่ายรูปที่นั่งฝั่งผู้โดยสาร,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q26.mp3,Yes,No,No,,Yes,สภาพเบาะนั่งฝั่งผู้โดยสาร?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q26_SQ1.mp3,Yes,"Good ,Stained, Crack , Damage",No,,,No,,Yes,No,Yes
27.0,กรุณาถ่ายรูปที่นั่งด้านหลัง,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q27.mp3,Yes,No,No,,Yes,สภาพเบาะนั่งด้านหลัง?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q27_SQ1.mp3,Yes,"Good ,Stained, Crack , Damage",No,,,No,,Yes,No,Yes
28.0,สภาพเข็มขัดนิรภัยเป็นอย่างไรบ้าง,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q28.mp3,No,No,Yes,"Working , Not Working , Not Applicable",No,,,No,,No,,,No,,No,No,No
29.0,กรุณาถ่ายรูปหลังคาภายใน,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q29.mp3,Yes,No,No,,Yes,สภาพหลังคาภายใน,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q29_SQ1.mp3,Yes,"Good ,Stained, Crack , Damage",No,,,No,,Yes,No,Yes
30.0,กรุณาถ่ายรูปแผงหน้าปัดแบบเต็มๆ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q30.mp3,Yes,No,No,,Yes,สภาพแผงหน้าปัด?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q30_SQ1.mp3,Yes,"Good ,Stained, Crack , Damage",No,,,No,,Yes,No,Yes
31.0,กรุณาถ่ายรูปมาตรวัดระยะทางพร้อมไฟเตือน,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q31.mp3,Yes,No,No,,Yes,มีไฟเตือนขึ้นที่แผงหน้าปัดรถหรือไม่?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q31_SQ1.mp3,Yes,"Yes , No ,Not Applicable",No,,,No,,Yes,No,Yes
44.0,มีถุงลมนิรภัยหรือไม่,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q44.mp3,No,No,Yes,"Yes,No",Yes,จำนวนถุงลมนิรภัย,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q44_SQ1.mp3,Yes,"0,2,4,6",No,,,No,,Yes,No,Yes
,ตรวจสอบระบบอินโฟเทนเมนท์ ระบบไฟฟ้า และอุปกรณ์เสริม,,,,,,,,,,,,,,,,,,
36.0,กรุณาถ่ายรูประบบอินโฟเทนเมนท์,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q36.mp3,Yes,No,No,,Yes,ระบบ Infotainment ทำงานได้อย่างถูกต้องหรือไม่?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q36_SQ1.mp3,Yes,"Working, Not Working, Not Applicable ",No,,,No,,Yes,No,Yes
37.0,ปุ่มควบคุมบนพวงมาลัยทำงานถูกต้องหรือไม่,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q37.mp3,No,No,Yes,"Working ,Not Working, Not Applicable",No,,,No,,No,,,No,,No,No,Yes
38.0,แตรทำงานถูกต้องหรือไม่,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q38.mp3,No,No,Yes,"Working ,Not Working, Not Applicable",No,,,No,,No,,,No,,No,No,Yes
39.0,ระบบเสียงทำงานถูกต้องหรือไม่,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q39.mp3,No,No,Yes,"Working ,Not Working, Not Applicable",No,,,No,,No,,,No,,No,No,Yes
40.0,กระจกมองข้างไฟฟ้าทำงานหรือไม่,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q40.mp3,No,No,Yes,"Working ,Not Working, Not Applicable",No,,,No,,No,,,No,,No,No,Yes
52.0,ตัวควบคุมกระจกหน้าต่างอยู่ในสภาพใด,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q52.mp3,No,No,Yes,"Working ,Not Working , Not Applicable",No,,,No,,No,,,No,,No,No,Yes
53.0,ระบบล็อคประตูเป็นแบบแมนนวลหรืออัตโนมัติ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q53.mp3,No,No,Yes,"Manual , Automatic",Yes,ระบบล็อคประตูใช้งานได้ปกติหรือเปล่า?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q53_SQ1.mp3,Yes,"Working ,Not Working , Not Applicable",No,,,No,,No,No,Yes
32.0,มาตรวัดความเร็วทำงานถูกต้องหรือไม่,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q32.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
33.0,มาตรวัดเชื้อเพลิงทำงานถูกต้องหรือไม่,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q33.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
34.0,บลูทูธทำงานถูกต้องหรือไม่,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q34.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
35.0,พอร์ต USB ทำงานถูกต้องหรือไม่,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q35.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
,ตรวจสอบระบบปรับอากาศ,,,,,,,,,,,,,,,,,,
45.0,กรุณาถ่ายรูปช่องระบายอากาศด้านหน้าฝั่งคนขับ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q45.mp3,Yes,No,No,,Yes,สภาพการทำงานของช่องระบายอากาศ AC ด้านหน้า?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q45_SQ1.mp3,Yes,"Working , Not Working , Not Applicable",Yes,สภาพช่องระบายอากาศ AC?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q45_SQ2.mp3,Yes,"Good , Damaged ,Not Available ",No,No,Yes
46.0,กรุณาถ่ายรูปช่องระบายอากาศด้านหน้าฝั่งผู้โดยสาร,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q46.mp3,Yes,No,No,,Yes,สภาพการทำงานของช่องระบายอากาศ AC ด้านหน้าฝั่งผู้โดยสาร?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q46_SQ1.mp3,Yes,"Working , Not Working , Not Applicable",Yes,สภาพช่องระบายอากาศ AC?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q46_SQ2.mp3,Yes,"Good , Damaged ,Not Available ",No,No,Yes
47.0,กรุณาถ่ายรูปช่องระบายอากาศตรงกลางด้านหน้า,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q47.mp3,Yes,No,No,,Yes,สภาพการทำงานของช่องระบายอากาศ AC ด้านหน้าตรงกลาง?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q47_SQ1.mp3,Yes,"Working , Not Working , Not Applicable",Yes,สภาพช่องระบายอากาศ AC?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q47_SQ2.mp3,Yes,"Good , Damaged ,Not Available ",No,No,Yes
48.0,กรุณาคลิกที่ภาพช่องระบายอากาศด้านหลัง,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q48.mp3,Yes,No,No,,Yes,สภาพการทำงานของช่องระบายอากาศ AC ด้านหลัง?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q48_SQ1.mp3,Yes,"Working , Not Working , Not Applicable",Yes,สภาพช่องระบายอากาศ AC?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q48_SQ2.mp3,Yes,"Good , Damaged ,Not Available ",No,No,Yes
49.0,ระบบปรับอากาศทำงานอย่างถูกต้องหรือไม่,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q49.mp3,No,No,Yes,"Yes,No",Yes,สภาพการทำความเย็นของ AC,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q49_SQ1.mp3,Yes,"Normal , No Cooling, Excellent",No,,,No,,No,No,Yes
50.0,พัดลมเป่าทำงานอย่างถูกต้องหรือไม่,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q50.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
,สุขภาพเครื่องยนต์และการวินิจฉัย,,,,,,,,,,,,,,,,,,
54.0,โปรดเปิดฝากระโปรงรถและถ่ายรูปด้านบนเครื่องยนต์,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q54.mp3,Yes,No,No,,No,,,No,,No,,,No,,Yes,No,Yes
56.0,โปรดถ่ายรูปด้านซ้ายของเครื่องยนต์,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q56.mp3,Yes,No,No,,No,,,No,,No,,,No,,Yes,No,Yes
57.0,โปรดถ่ายรูปด้านขวาของเครื่องยนต์,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q57.mp3,Yes,No,No,,No,,,No,,No,,,No,,Yes,No,Yes
59.0,โปรดถ่ายวิดีโอพร้อมสตาร์ทเครื่องยนต์เป็นเวลา 30 วินาที,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q59.mp3,No,Yes,No,,No,,,No,,No,,,No,,No,Yes,Yes
60.0,เครื่องยนต์สตาร์ทด้วยเพลาข้อเหวี่ยงตัวเดียวหรือไม่,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q60.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
